Event_ID,Event_Name,Parent_Event_ID,Event_Type,Probability_Type,Probability_Value,Distribution_Type,Min,Max,Mean,Median,Mode,StdDev,Lambda,Alpha,Beta,Shape,Scale,Fixed_Value,Consequence_Type,Consequence_Distribution,Consequence_Min,Consequence_Max,Consequence_Mean,Consequence_StdDev,Dependency_Type,Dependency_Condition,Correlation_Group,Notes
N0198,Pre-Arrival Environment: node 88 - Residual risk remains and is flagged for review,N0003,Phase,fixed,0.6031,fixed,,,,,,,,,,,,0.6031,Financial,fixed,,,30,,conditional,Pre-Arrival Environment branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P2-09,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Residual risk remains and is flagged for review. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0199,Pre-Arrival Environment: node 89 - generic anomaly associated with a prohibited item attempt,N0003,Decision,normal,,normal,,,0.7524,,,0.0903,,,,,,,Legal/Compliance,uniform,27,44,35.5,4.9,requires_parent_success,Pre-Arrival Environment branch condition: captures operational delay impact. Defensive test data only.,CG-P2-09,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0200,Pre-Arrival Environment: node 90 - Use layered screening controls and documented decision points,N0003,Control,poisson,,poisson,,,2.1945,,34,,2.1945,,,,,,Workforce,triangular,26,52,34,,blocks_if_detected,Pre-Arrival Environment branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P2-09,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0201,Pre-Arrival Environment: node 91 - item-category ambiguity requiring officer judgment,N0003,Observation,triangular,,triangular,0.6064,0.8464,0.7264,,0.7264,,,,,,,,Passenger Experience,normal,,,36,6.5,mitigates_parent,Pre-Arrival Environment branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0202,Pre-Arrival Environment: node 92 - workflow interruption that could create screening distraction,N0003,Detection,lognormal,,lognormal,,,0.7071,,,0.1414,,,,0.391,0.7071,,Security,lognormal,,,12,3.0,escalates_if_unresolved,Pre-Arrival Environment branch condition: captures operational delay impact. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0203,Pre-Arrival Environment: node 93 - Preserve chain-of-custody language at a generic level,N0003,Escalation,uniform,,uniform,0.5819,0.7819,0.6819,,,,,,,,,14,Operational,fixed,,,14,,independent,Pre-Arrival Environment branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Preserve chain-of-custody language at a generic level. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0204,Pre-Arrival Environment: node 94 - Simulation branch produces operational delay only,N0003,Outcome,beta,,beta,,,0.6625,,,,,20.537,10.463,,,,Reputational,uniform,11,28,19.5,4.9,conditional,Pre-Arrival Environment branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch produces operational delay only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0205,Pre-Arrival Environment: node 95 - Use randomization as a defensive control in the simulation only,N0003,Recovery,fixed,0.6782,fixed,,,,,18,,,,,,,0.6782,Financial,triangular,10,36,18,,requires_parent_success,Pre-Arrival Environment branch condition: captures operational delay impact. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use randomization as a defensive control in the simulation only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0206,Pre-Arrival Environment: node 96 - property image anomaly resolved only through approved process,N0003,Observation,normal,,normal,,,0.6362,,,0.0763,,,,,,,Legal/Compliance,normal,,,20,3.6,blocks_if_detected,Pre-Arrival Environment branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0207,Pre-Arrival Environment: node 97 - Checkpoint returns to baseline operating posture,N0003,Phase,poisson,,poisson,,,1.9172,,,,1.9172,,,0.35,20,,Workforce,lognormal,,,22,5.5,mitigates_parent,Pre-Arrival Environment branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Checkpoint returns to baseline operating posture. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0208,"Pre-Arrival Environment: node 98 - behavioral cue logged only as supporting context, not as sole basis",N0003,Decision,triangular,,triangular,0.4855,0.7255,0.6055,,0.6055,,,,,,,24,Passenger Experience,fixed,,,24,,escalates_if_unresolved,Pre-Arrival Environment branch condition: captures operational delay impact. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0209,Pre-Arrival Environment: node 99 - Apply standard operating procedure without describing restricted methods,N0003,Control,lognormal,,lognormal,,,0.5625,,,0.1125,,,,0.363,0.5625,,Security,uniform,21,38,29.5,4.9,independent,Pre-Arrival Environment branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P2-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Apply standard operating procedure without describing restricted methods. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0210,Document and Identity Presentation: node 01 - item-category ambiguity requiring officer judgment,N0004,Detection,triangular,,triangular,0.6150,0.8550,0.7350,,0.7350,,,,,0.35,17,,Reputational,lognormal,,,19,4.8,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0211,Document and Identity Presentation: node 02 - Request supervisory review when the indicator exceeds the test threshold,N0004,Escalation,lognormal,,lognormal,,,0.7088,,,0.1418,,,,0.392,0.7088,21,Financial,fixed,,,21,,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Request supervisory review when the indicator exceeds the test threshold. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0212,Document and Identity Presentation: node 03 - Simulation branch terminates with interdiction,N0004,Outcome,uniform,,uniform,0.5974,0.7974,0.6974,,,,,,,,,,Legal/Compliance,uniform,18,35,26.5,4.9,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch terminates with interdiction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0213,Document and Identity Presentation: node 04 - Maintain passenger flow while resolving the event safely,N0004,Recovery,beta,,beta,,,0.6773,,25,,,20.997,10.003,,,,Workforce,triangular,17,43,25,,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Maintain passenger flow while resolving the event safely. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0214,Document and Identity Presentation: node 05 - incomplete divestiture or preparation requiring re-screening,N0004,Observation,fixed,0.6554,fixed,,,,,,,,,,,,0.6554,Passenger Experience,normal,,,27,4.9,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: incomplete divestiture or preparation requiring re-screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0215,Document and Identity Presentation: node 06 - Quality assurance review identifies control improvement,N0004,Phase,normal,,normal,,,0.6033,,,0.0724,,,,0.35,27,,Security,lognormal,,,29,7.2,conditional,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Quality assurance review identifies control improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0216,Document and Identity Presentation: node 07 - identity or itinerary discrepancy requiring routine clarification,N0004,Decision,poisson,,poisson,,,1.8038,,,,1.8038,,,,,31,Operational,fixed,,,31,,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0217,Document and Identity Presentation: node 08 - Close the loop with after-action documentation,N0004,Control,triangular,,triangular,0.4497,0.6897,0.5697,,0.5697,,,,,,,,Reputational,uniform,28,45,36.5,4.9,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Close the loop with after-action documentation. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0218,Document and Identity Presentation: node 09 - generic anomaly associated with a prohibited item attempt,N0004,Observation,lognormal,,lognormal,,,0.5611,,35,0.1122,,,,0.362,0.5611,,Financial,triangular,27,53,35,,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0219,Document and Identity Presentation: node 10 - inconsistent passenger explanation requiring additional screening,N0004,Detection,uniform,,uniform,0.4259,0.6259,0.5259,,,,,,,,,,Legal/Compliance,normal,,,37,6.7,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: inconsistent passenger explanation requiring additional screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0220,"Document and Identity Presentation: node 11 - Record observable behavior and maintain neutral, non-discriminatory criteria",N0004,Escalation,beta,,beta,,,0.5239,,,,,14.671,13.329,0.35,37,,Workforce,lognormal,,,39,9.8,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Record observable behavior and maintain neutral, non-discriminatory criteria. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0221,Document and Identity Presentation: node 12 - Passenger re-screened and cleared after resolution,N0004,Outcome,fixed,0.7343,fixed,,,,,,,,,,,,0.7343,Passenger Experience,fixed,,,41,,conditional,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Passenger re-screened and cleared after resolution. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0222,Document and Identity Presentation: node 13 - Preserve chain-of-custody language at a generic level,N0004,Recovery,normal,,normal,,,0.6803,,,0.0816,,,,,,,Security,uniform,38,55,46.5,4.9,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Preserve chain-of-custody language at a generic level. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0223,Document and Identity Presentation: node 14 - alarm requiring standard resolution before access is granted,N0004,Observation,poisson,,poisson,,,2.0646,,19,,2.0646,,,,,,Operational,triangular,11,37,19,,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: alarm requiring standard resolution before access is granted. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0224,Document and Identity Presentation: node 15 - Supervisor documents training or procedure improvement,N0004,Phase,triangular,,triangular,0.5338,0.7738,0.6538,,0.6538,,,,,,,,Reputational,normal,,,21,3.8,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Supervisor documents training or procedure improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0225,Document and Identity Presentation: node 16 - property image anomaly resolved only through approved process,N0004,Decision,lognormal,,lognormal,,,0.6342,,,0.1268,,,,0.377,0.6342,,Financial,lognormal,,,23,5.8,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0226,Document and Identity Presentation: node 17 - Route to secondary resolution using approved checkpoint process,N0004,Control,uniform,,uniform,0.5429,0.7429,0.6429,,,,,,,,,25,Legal/Compliance,fixed,,,25,,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Route to secondary resolution using approved checkpoint process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0227,"Document and Identity Presentation: node 18 - behavioral cue logged only as supporting context, not as sole basis",N0004,Observation,beta,,beta,,,0.6268,,,,,18.803,11.197,,,,Workforce,uniform,22,39,30.5,4.9,conditional,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0228,Document and Identity Presentation: node 19 - generic anomaly associated with a prohibited item attempt,N0004,Detection,fixed,0.5868,fixed,,,,,29,,,,,,,0.5868,Passenger Experience,triangular,21,47,29,,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0229,Document and Identity Presentation: node 20 - Use layered screening controls and documented decision points,N0004,Escalation,normal,,normal,,,0.5769,,,0.0692,,,,,,,Security,normal,,,31,5.6,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0230,Document and Identity Presentation: node 21 - False alarm resolved with no prohibited item found,N0004,Outcome,poisson,,poisson,,,1.5922,,,,1.5922,,,0.35,31,,Operational,lognormal,,,33,8.2,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: False alarm resolved with no prohibited item found. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0231,Document and Identity Presentation: node 22 - Request supervisory review when the indicator exceeds the test threshold,N0004,Recovery,triangular,,triangular,0.3998,0.6398,0.5198,,0.5198,,,,,,,35,Reputational,fixed,,,35,,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Request supervisory review when the indicator exceeds the test threshold. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0232,Document and Identity Presentation: node 23 - high workload condition increasing need for supervisor oversight,N0004,Observation,lognormal,,lognormal,,,0.7334,,,0.1467,,,,0.397,0.7334,,Financial,uniform,32,49,40.5,4.9,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: high workload condition increasing need for supervisor oversight. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0233,Document and Identity Presentation: node 24 - Simulation branch produces operational delay only,N0004,Phase,uniform,,uniform,0.5960,0.7960,0.6960,,39,,,,,,,,Legal/Compliance,triangular,31,57,39,,conditional,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch produces operational delay only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0234,Document and Identity Presentation: node 25 - incomplete divestiture or preparation requiring re-screening,N0004,Decision,beta,,beta,,,0.6761,,,,,20.959,10.041,,,,Workforce,normal,,,41,7.4,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: incomplete divestiture or preparation requiring re-screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0235,Document and Identity Presentation: node 26 - Confirm the event through a second independent screening cue,N0004,Control,fixed,0.6684,fixed,,,,,,,,,,0.35,41,0.6684,Passenger Experience,lognormal,,,43,10.8,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Confirm the event through a second independent screening cue. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0236,Document and Identity Presentation: node 27 - identity or itinerary discrepancy requiring routine clarification,N0004,Observation,normal,,normal,,,0.6159,,,0.0739,,,,,,19,Security,fixed,,,19,,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0237,"Document and Identity Presentation: node 28 - behavioral cue logged only as supporting context, not as sole basis",N0004,Detection,poisson,,poisson,,,1.8726,,,,1.8726,,,,,,Operational,uniform,16,33,24.5,4.9,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0238,Document and Identity Presentation: node 29 - Apply standard operating procedure without describing restricted methods,N0004,Escalation,triangular,,triangular,0.4821,0.7221,0.6021,,0.6021,,,,,,,,Reputational,triangular,15,41,23,,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Apply standard operating procedure without describing restricted methods. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0239,Document and Identity Presentation: node 30 - Attempt escalated for law-enforcement disposition,N0004,Outcome,lognormal,,lognormal,,,0.6016,,,0.1203,,,,0.370,0.6016,,Financial,normal,,,25,4.5,conditional,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Attempt escalated for law-enforcement disposition. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0240,"Document and Identity Presentation: node 31 - Record observable behavior and maintain neutral, non-discriminatory criteria",N0004,Recovery,uniform,,uniform,0.4489,0.6489,0.5489,,,,,,,0.35,25,,Legal/Compliance,lognormal,,,27,6.8,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Record observable behavior and maintain neutral, non-discriminatory criteria. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0241,Document and Identity Presentation: node 32 - workflow interruption that could create screening distraction,N0004,Observation,beta,,beta,,,0.5710,,,,,16.560,12.440,,,29,Workforce,fixed,,,29,,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0242,Document and Identity Presentation: node 33 - Simulation branch terminates with interdiction,N0004,Phase,fixed,0.5090,fixed,,,,,,,,,,,,0.5090,Passenger Experience,uniform,26,43,34.5,4.9,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch terminates with interdiction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0243,Document and Identity Presentation: node 34 - alarm requiring standard resolution before access is granted,N0004,Decision,normal,,normal,,,0.6943,,33,0.0833,,,,,,,Security,triangular,25,51,33,,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: alarm requiring standard resolution before access is granted. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0244,Document and Identity Presentation: node 35 - Use randomization as a defensive control in the simulation only,N0004,Control,poisson,,poisson,,,2.0903,,,,2.0903,,,,,,Operational,normal,,,35,6.3,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use randomization as a defensive control in the simulation only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0245,Document and Identity Presentation: node 36 - property image anomaly resolved only through approved process,N0004,Observation,triangular,,triangular,0.5628,0.8028,0.6828,,0.6828,,,,,0.35,35,,Reputational,lognormal,,,37,9.2,conditional,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0246,Document and Identity Presentation: node 37 - identity or itinerary discrepancy requiring routine clarification,N0004,Detection,lognormal,,lognormal,,,0.6428,,,0.1286,,,,0.379,0.6428,39,Financial,fixed,,,39,,requires_parent_success,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0247,Document and Identity Presentation: node 38 - Close the loop with after-action documentation,N0004,Escalation,uniform,,uniform,0.5190,0.7190,0.6190,,,,,,,,,,Legal/Compliance,uniform,36,53,44.5,4.9,blocks_if_detected,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Close the loop with after-action documentation. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0248,Document and Identity Presentation: node 39 - Attempt blocked before sterile-area access,N0004,Outcome,beta,,beta,,,0.6395,,43,,,19.185,10.815,,,,Workforce,triangular,35,61,43,,mitigates_parent,Document and Identity Presentation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Attempt blocked before sterile-area access. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0249,Document and Identity Presentation: node 40 - Use layered screening controls and documented decision points,N0004,Recovery,fixed,0.5893,fixed,,,,,,,,,,,,0.5893,Passenger Experience,normal,,,19,3.4,escalates_if_unresolved,Document and Identity Presentation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P3-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0250,Document and Identity Presentation: node 41 - item-category ambiguity requiring officer judgment,N0004,Observation,normal,,normal,,,0.5887,,,0.0706,,,,0.35,19,,Security,lognormal,,,21,5.2,independent,Document and Identity Presentation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P3-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
